"","BZ=F.Adjusted"
"1",75.7399978637695
"2",77.0500030517578
"3",75.3499984741211
"4",75.7600021362305
"5",74.75
"6",71.1699981689453
"7",71.8000030517578
"8",70.9899978637695
"9",70.2099990844727
"10",70.3899993896484
"11",70.2300033569336
"12",70.5100021362305
"13",71.6399993896484
"14",69.7699966430664
"15",70.4400024414062
"16",69.8499984741211
"17",68.6900024414062
"18",68.6999969482422
"19",69.8600006103516
"20",70.620002746582
"21",70.9499969482422
"22",70.5500030517578
"23",72.129997253418
"24",71.9000015258789
"25",72.6900024414062
"26",73.9199981689453
"27",74.3399963378906
"28",74.7699966430664
"29",75.0699996948242
"30",75.4800033569336
"31",76.379997253418
"32",77.6800003051758
"33",77.120002746582
"34",76.2200012207031
"35",76.9800033569336
"36",77.5899963378906
"37",78.4700012207031
"38",79.0899963378906
"39",79.3000030517578
"40",78.9100036621094
"41",77.620002746582
"42",77.4300003051758
"43",80.0299987792969
"44",79.1699981689453
"45",77.6399993896484
"46",77.379997253418
"47",77.379997253418
"48",78.9700012207031
"49",78.9000015258789
"50",76.5800018310547
"51",77.4899978637695
"52",78.5999984741211
"53",80.1500015258789
"54",80.5500030517578
"55",82.75
"56",83.5500030517578
"57",83.129997253418
"58",84.5999984741211
"59",83.7900009155273
"60",83.2699966430664
"61",82.8499984741211
"62",84.370002746582
"63",87.4800033569336
"64",88.6900024414062
"65",90.3199996948242
"66",87.4400024414062
"67",90.629997253418
"68",89.7200012207031
"69",92.0800018310547
"70",90.4899978637695
"71",93.2600021362305
"72",93.2399978637695
"73",92.7900009155273
"74",93.1800003051758
"75",91.9800033569336
"76",88.8300018310547
"77",91.3600006103516
"78",90.2300033569336
"79",91.620002746582
"80",92.2799987792969
"81",95.4899978637695
"82",94.8399963378906
"83",95.7600021362305
"84",95.3199996948242
"85",92.5199966430664
"86",89.8099975585938
"87",90.2200012207031
"88",88.2600021362305
"89",89.8000030517578
"90",89.5299987792969
"91",88.4899978637695
"92",90.1800003051758
"93",88.6399993896484
"94",88.0400009155273
"95",89.9899978637695
"96",94.0199966430664
"97",92.120002746582
"98",91.6900024414062
"99",91.2900009155273
"100",90.120002746582
"101",91.4800033569336
"102",90.879997253418
"103",92.4599990844727
"104",92.6999969482422
"105",93.9400024414062
"106",94.7799987792969
"107",93.879997253418
"108",93.8499984741211
"109",97.8399963378906
"110",97.5999984741211
"111",96.7900009155273
"112",94.3899993896484
"113",95.5400009155273
"114",94.370002746582
"115",92.2200012207031
"116",91.0699996948242
"117",92.9199981689453
"118",90.9800033569336
"119",89.5
"120",88.75
"121",89.2300033569336
"122",88.4499969482422
"123",86.620002746582
"124",89.0699996948242
"125",90.9000015258789
"126",91.379997253418
"127",92
"128",92.5299987792969
"129",92.2099990844727
"130",89.4400024414062
"131",90.4000015258789
"132",88.8199996948242
"133",87.7799987792969
"134",88.5100021362305
"135",91.9400024414062
"136",93.5299987792969
"137",92.8600006103516
"138",93.3199996948242
"139",95.1600036621094
"140",94.629997253418
"141",98.5599975585938
"142",98.4199981689453
"143",96.2399978637695
"144",97.0100021362305
"145",97.6900024414062
"146",99.4700012207031
"147",98.2699966430664
"148",100.900001525879
"149",100.099998474121
"150",100.480003356934
"151",97.5199966430664
"152",101.639999389648
"153",102.610000610352
"154",102.379997253418
"155",104.160003662109
"156",105.25
"157",106.269996643066
"158",107.540000915527
"159",106.199996948242
"160",101.75
"161",105.559997558594
"162",100.720001220703
"163",100.379997253418
"164",99.8600006103516
"165",100.599998474121
"166",103.98999786377
"167",105
"168",103.769996643066
"169",100.300003051758
"170",100.169998168945
"171",103.75
"172",102.519996643066
"173",104.900001525879
"174",107.139999389648
"175",106.339996337891
"176",108.470001220703
"177",108.199996948242
"178",108.75
"179",109.839996337891
"180",111.580001831055
"181",112.660003662109
"182",112.430000305176
"183",113.919998168945
"184",114.430000305176
"185",115.949996948242
"186",116.459999084473
"187",114.339996337891
"188",116.339996337891
"189",116.73999786377
"190",113.430000305176
"191",111.360000610352
"192",110.5
"193",114.559997558594
"194",117.98999786377
"195",120.309997558594
"196",122.319999694824
"197",122.839996337891
"198",125.400001525879
"199",122.910003662109
"200",124.099998474121
"201",121.860000610352
"202",122.629997253418
"203",124.98999786377
"204",125.059997558594
"205",127.839996337891
"206",132.699996948242
"207",130.509994506836
"208",131.570007324219
"209",128.309997558594
"210",130.929992675781
"211",126.889999389648
"212",127.779998779297
"213",128.020004272461
"214",124.580001831055
"215",122.099998474121
"216",127.540000915527
"217",137.690002441406
"218",133.910003662109
"219",131.020004272461
"220",135.020004272461
"221",136.089996337891
"222",135.110000610352
"223",134.710006713867
"224",133.720001220703
"225",136.440002441406
"226",132
"227",134.860000610352
"228",135.910003662109
"229",136.460006713867
"230",134.330001831055
"231",139.830001831055
"232",140.309997558594
"233",139.830001831055
"234",140.669998168945
"235",144.259994506836
"236",146.080001831055
"237",141.869995117188
"238",136.429992675781
"239",136.580001831055
"240",142.029998779297
"241",144.490005493164
"242",143.919998168945
"243",138.75
"244",135.809997558594
"245",131.070007324219
"246",130.190002441406
"247",132.610000610352
"248",129.550003051758
"249",125.290000915527
"250",126.440002441406
"251",124.519996643066
"252",125.839996337891
"253",122.709999084473
"254",127.099998474121
"255",123.980003356934
"256",124.180000305176
"257",120.680000305176
"258",117.699996948242
"259",117
"260",117.860000610352
"261",113.330001831055
"262",112.669998168945
"263",111.150001525879
"264",113.470001220703
"265",113.680000305176
"266",112.550003051758
"267",111.940002441406
"268",113.25
"269",114.360000610352
"270",120.160003662109
"271",113.919998168945
"272",114.029998779297
"273",114.629997253418
"274",116.220001220703
"275",114.169998168945
"276",114.050003051758
"277",108.339996337891
"278",108.059997558594
"279",106.300003051758
"280",104.089996337891
"281",103.440002441406
"282",100.339996337891
"283",98.9700012207031
"284",97.6399993896484
"285",97.5800018310547
"286",94.2399978637695
"287",89.2200012207031
"288",94.8399963378906
"289",95.1900024414062
"290",99.6100006103516
"291",106.040000915527
"292",103.080001831055
"293",102.449996948242
"294",104.599998474121
"295",103.540000915527
"296",93.9800033569336
"297",98.1699981689453
"298",95.3300018310547
"299",90.5599975585938
"300",90.25
"301",83.6800003051758
"302",84.6600036621094
"303",84.3600006103516
"304",82.6600036621094
"305",74.0899963378906
"306",77.4599990844727
"307",74.5299987792969
"308",70.8000030517578
"309",NA
"310",69.5999984741211
"311",72.0299987792969
"312",69.7200012207031
"313",64.5199966430664
"314",65.9199981689453
"315",62.0499992370605
"316",61.4099998474121
"317",60.2900009155273
"318",65.4700012207031
"319",63.7099990844727
"320",65.3199996948242
"321",60.4799995422363
"322",66.4400024414062
"323",61.8699989318848
"324",57.4300003051758
"325",57.3499984741211
"326",59.0800018310547
"327",55.7099990844727
"328",52.3699989318848
"329",NA
"330",54.2400016784668
"331",52.310001373291
"332",51.8400001525879
"333",51.7200012207031
"334",48.0800018310547
"335",49.189998626709
"336",53.9300003051758
"337",50.3499984741211
"338",53.9199981689453
"339",53.4900016784668
"340",47.9700012207031
"341",45.439998626709
"342",45.439998626709
"343",42.2799987792969
"344",39.7400016784668
"345",43.4199981689453
"346",41.5299987792969
"347",42.4000015258789
"348",47.3899993896484
"349",46.4099998474121
"350",44.5999984741211
"351",NA
"352",45.5299987792969
"353",43.3600006103516
"354",44
"355",41.4500007629395
"356",40.3600006103516
"357",36.6100006103516
"358",38.3699989318848
"359",40.5499992370605
"360",40.1500015258789
"361",45.5900001525879
"362",46.9099998474121
"363",49.6199989318848
"364",50.5299987792969
"365",45.8600006103516
"366",44.6699981689453
"367",44.4199981689453
"368",42.9099998474121
"369",44.8300018310547
"370",45.0800018310547
"371",NA
"372",46.5699996948242
"373",43.6199989318848
"374",45.0200004577637
"375",45.3899993896484
"376",48.3699989318848
"377",46.9599990844727
"378",43.7299995422363
"379",44.9000015258789
"380",45.4000015258789
"381",45.8800010681152
"382",43.8199996948242
"383",44.0800018310547
"384",44.1500015258789
"385",46.4599990844727
"386",46.2099990844727
"387",46.0200004577637
"388",44.6100006103516
"389",44.2799987792969
"390",NA
"391",46.2599983215332
"392",42.4500007629395
"393",40.75
"394",43.2799987792969
"395",43.1399993896484
"396",42.3600006103516
"397",43.8400001525879
"398",45.4199981689453
"399",47.6100006103516
"400",47.2000007629395
"401",43.1599998474121
"402",44.560001373291
"403",46.9900016784668
"404",44.7799987792969
"405",45.939998626709
"406",45.3499984741211
"407",45.1500015258789
"408",42.5499992370605
"409",46.2000007629395
"410",45.8800010681152
"411",46.4599990844727
"412",48.2400016784668
"413",47.6599998474121
"414",50.6699981689453
"415",51.2200012207031
"416",53.4700012207031
"417",53.5
"418",51.75
"419",53.4599990844727
"420",51.9799995422363
"421",47.9900016784668
"422",49.2299995422363
"423",48.439998626709
"424",52.75
"425",53.4700012207031
"426",52.2400016784668
"427",51.2200012207031
"428",51.5900001525879
"429",54.060001373291
"430",52.1399993896484
"431",51.9599990844727
"432",NA
"433",NA
"434",NA
"435",NA
"436",NA
"437",NA
"438",NA
"439",NA
"440",NA
"441",NA
"442",NA
"443",NA
"444",52.8499984741211
"445",54.5800018310547
"446",54.1199989318848
"447",56.1500015258789
"448",56.4700012207031
"449",58.1399993896484
"450",57.4799995422363
"451",57.939998626709
"452",57.3400001525879
"453",NA
"454",55.9799995422363
"455",58.4700012207031
"456",58.9199981689453
"457",60.5900001525879
"458",59.9300003051758
"459",60.7799987792969
"460",61.2400016784668
"461",62.5
"462",64.3899993896484
"463",65.5199966430664
"464",67.9700012207031
"465",68.1699981689453
"466",65.879997253418
"467",68.7099990844727
"468",68.3399963378906
"469",67.879997253418
"470",69.620002746582
"471",70.8000030517578
"472",71.7900009155273
"473",70.9199981689453
"474",69.4400024414062
"475",70.2399978637695
"476",70.8499984741211
"477",71.0599975585938
"478",69.1900024414062
"479",66.9800033569336
"480",68.8000030517578
"481",68.3300018310547
"482",69.7799987792969
"483",68.9199981689453
"484",70.9899978637695
"485",69.3000030517578
"486",68.7900009155273
"487",66.6500015258789
"488",64.0500030517578
"489",63.2299995422363
"490",60.4300003051758
"491",61.0999984741211
"492",60.5200004577637
"493",60.689998626709
"494",60.8600006103516
"495",63.0900001525879
"496",NA
"497",65.379997253418
"498",66.4400024414062
"499",66.870002746582
"500",67.2099990844727
"501",69.25
"502",70.3199996948242
"503",70.8099975585938
"504",69.879997253418
"505",66.5299987792969
"506",70.1100006103516
"507",71.6999969482422
"508",73.5500030517578
"509",74.2799987792969
"510",75.5100021362305
"511",74.8300018310547
"512",73.5899963378906
"513",73.5
"514",72.4599990844727
"515",72.8899993896484
"516",73.4800033569336
"517",72.4100036621094
"518",70.5400009155273
"519",72.370002746582
"520",74.5899963378906
"521",73.3300018310547
"522",74.1900024414062
"523",74.2600021362305
"524",71.8199996948242
"525",71.6500015258789
"526",72.5100021362305
"527",72.7900009155273
"528",69.6500015258789
"529",67.7300033569336
"530",67.6600036621094
"531",67.120002746582
"532",66.8199996948242
"533",69.4199981689453
"534",69.8300018310547
"535",69.8600006103516
"536",67.6900024414062
"537",67.4400024414062
"538",NA
"539",71.6699981689453
"540",71.5500030517578
"541",71.3199996948242
"542",68.6900024414062
"543",70.5299987792969
"544",67.9899978637695
"545",64.8199996948242
"546",65.1100006103516
"547",65.5400009155273
"548",65.4899978637695
"549",69.0699996948242
"550",69.1900024414062
"551",68.0699996948242
"552",68.0400009155273
"553",68.5599975585938
"554",67.1999969482422
"555",69.7699966430664
"556",70
"557",71.3600006103516
"558",72.4000015258789
"559",73.0999984741211
"560",NA
"561",76.9899978637695
"562",77.7699966430664
"563",77.2399978637695
"564",79.6900024414062
"565",79.5100021362305
"566",78.9199981689453
"567",77.2600021362305
"568",77.9199981689453
"569",75.8600006103516
"570",78.0400009155273
"571",75.1999969482422
"572",76.5500030517578
"573",78.1100006103516
"574",78.8899993896484
"575",77.9899978637695
"576",75.870002746582
"577",77.7699966430664
"578",77.5
"579",77.9499969482422
"580",76.0199966430664
"581",75.5500030517578
"582",78.7600021362305
"583",78.9700012207031
"584",79.4700012207031
"585",77.6399993896484
"586",77.1999969482422
"587",77.4599990844727
"588",76.4599990844727
"589",78.4400024414062
"590",77.1800003051758
"591",78.4700012207031
"592",79.3499984741211
"593",77.879997253418
"594",78.3600006103516
"595",77.5199966430664
"596",76.4300003051758
"597",75.1900024414062
"598",72.3899993896484
"599",71.8600006103516
"600",71.879997253418
"601",71.8899993896484
"602",72.0500030517578
"603",73.5500030517578
"604",73.370002746582
"605",73.75
"606",72.9899978637695
"607",73.4599990844727
"608",75.4499969482422
"609",76.3099975585938
"610",77.3199996948242
"611",77.6399993896484
"612",78.0299987792969
"613",77.9300003051758
"614",80.120002746582
"615",80.5899963378906
"616",81.8899993896484
"617",81.5100021362305
"618",81.370002746582
"619",80.9700012207031
"620",79.3000030517578
"621",78.3099975585938
"622",77.8199996948242
"623",77.1100006103516
"624",77.629997253418
"625",76.3199996948242
"626",74.5800018310547
"627",72.8300018310547
"628",73.6900024414062
"629",73.2900009155273
"630",72.2399978637695
"631",72.129997253418
"632",71.4599990844727
"633",73.1100006103516
"634",76.0599975585938
"635",75.9199981689453
"636",72.129997253418
"637",69.5899963378906
"638",70.1100006103516
"639",72.129997253418
"640",72.5400009155273
"641",73.0500030517578
"642",72.9000015258789
"643",75.6800003051758
"644",76.2699966430664
"645",77.7799987792969
"646",78.1900024414062
"647",78.6100006103516
"648",77.25
"649",78.0899963378906
"650",76.2900009155273
"651",77.5899963378906
"652",76.8899993896484
"653",78.1800003051758
"654",79.25
"655",78.5400009155273
"656",79.8899993896484
"657",80.4700012207031
"658",79.9100036621094
"659",80.4800033569336
"660",80.2799987792969
"661",79.3899993896484
"662",77.8899993896484
"663",79.0199966430664
"664",81.9599990844727
"665",81.4800033569336
"666",79.879997253418
"667",80.5400009155273
"668",80.6999969482422
"669",79.620002746582
"670",79.6100006103516
"671",79.2900009155273
"672",81.1699981689453
"673",81.2799987792969
"674",82.6999969482422
"675",84.0100021362305
"676",85.879997253418
"677",86.1500015258789
"678",85.5899963378906
"679",84.8099975585938
"680",84.8300018310547
"681",84.7699966430664
"682",84.7200012207031
"683",86.1500015258789
"684",87.1699981689453
"685",85.9899978637695
"686",84.2300033569336
"687",84.8000030517578
"688",85.6999969482422
"689",85.6699981689453
"690",87.25
"691",86.8300018310547
"692",85.7799987792969
"693",86.1600036621094
"694",86.9000015258789
"695",87.4400024414062
"696",88.9400024414062
"697",NA
"698",82.6100006103516
"699",79.8300018310547
"700",78.2699966430664
"701",80.120002746582
"702",80.4899978637695
"703",81.1999969482422
"704",80.1100006103516
"705",77.1800003051758
"706",75.0999984741211
"707",74.4300003051758
"708",73.6900024414062
"709",71.8399963378906
"710",71.6800003051758
"711",71.1699981689453
"712",69.5500030517578
"713",71.7399978637695
"714",74.6600036621094
"715",74.0199966430664
"716",72.7099990844727
"717",73.75
"718",75.4100036621094
"719",72.0899963378906
"720",72.0899963378906
"721",72.0899963378906
"722",72.0899963378906
"723",75.2900009155273
"724",74.3499984741211
"725",75.1999969482422
"726",76.1999969482422
"727",78.1399993896484
"728",78.6800003051758
"729",78.2200012207031
"730",78.8199996948242
"731",78.0400009155273
"732",76.2699966430664
"733",76.4700012207031
"734",78.120002746582
"735",77.5899963378906
"736",75.4400024414062
"737",75.0100021362305
"738",72.3399963378906
"739",71.6500015258789
"740",71.4499969482422
"741",73.5100021362305
"742",74.7099990844727
"743",75.4199981689453
"744",74.370002746582
"745",76.6500015258789
"746",76.7699966430664
"747",NA
"748",75.370002746582
"749",75.620002746582
"750",76.2200012207031
"751",75.370002746582
"752",77.8199996948242
"753",77.4499969482422
"754",77.5
"755",76.129997253418
"756",76.0599975585938
"757",77.5899963378906
"758",78.1800003051758
"759",80.8199996948242
"760",82.6800003051758
"761",82.1999969482422
"762",81.6100006103516
"763",80.1600036621094
"764",80.9899978637695
"765",79.5999984741211
"766",77.6399993896484
"767",75.5199966430664
"768",75.1100006103516
"769",74.8499984741211
"770",76.9300003051758
"771",76.4700012207031
"772",75.3000030517578
"773",74.2600021362305
"774",73.620002746582
"775",72.379997253418
"776",73.4800033569336
"777",75.0199966430664
"778",76.6500015258789
"779",76.5999984741211
"780",74.6399993896484
"781",76.3499984741211
"782",76.9300003051758
"783",76.6699981689453
"784",77.7399978637695
"785",78.1699981689453
"786",77.4700012207031
"787",78.1600036621094
"788",79.0299987792969
"789",79.1600036621094
"790",78.9100036621094
"791",78.4800033569336
"792",78.2099990844727
"793",79.3199996948242
"794",78.4199981689453
"795",77.9499969482422
"796",78.1100006103516
"797",78.870002746582
"798",78.5699996948242
"799",78.7099990844727
"800",80.7699966430664
"801",82.3099975585938
"802",83.75
"803",83.2799987792969
"804",84.8399963378906
"805",85.0599975585938
"806",83.4300003051758
"807",84.0299987792969
"808",83.7200012207031
"809",83.5
"810",84.6399993896484
"811",84.5299987792969
"812",82.4499969482422
"813",84.370002746582
"814",81.0999984741211
"815",83.5999984741211
"816",81.8300018310547
"817",82.9599990844727
"818",83.5400009155273
"819",83.6600036621094
"820",83.2300033569336
"821",83.5899963378906
"822",83.1500015258789
"823",84.620002746582
"824",85.4100036621094
"825",86.379997253418
"826",88
"827",88.1100006103516
"828",88.4599990844727
"829",88.3300018310547
"830",88.9599990844727
"831",88.8099975585938
"832",86.3399963378906
"833",86.6999969482422
"834",84.7300033569336
"835",83.2799987792969
"836",85.0500030517578
"837",84.3399963378906
"838",83.9599990844727
"839",83.25
"840",85.8399963378906
"841",85.5800018310547
"842",87.3399963378906
"843",85.9199981689453
"844",88.870002746582
"845",90.6900024414062
"846",91.4199981689453
"847",91.4499969482422
"848",91.3899993896484
"849",90.7699966430664
"850",90.9899978637695
"851",90.4800033569336
"852",91.1900024414062
"853",91.2099990844727
"854",92.1999969482422
"855",91.7099990844727
"856",91.6699981689453
"857",92.7399978637695
"858",93.1999969482422
"859",93.6500015258789
"860",94.25
"861",93.8499984741211
"862",94.379997253418
"863",94.1399993896484
"864",93.0899963378906
"865",94.75
"866",94.8399963378906
"867",93.5299987792969
"868",95.5
"869",94.5199966430664
"870",93.3300018310547
"871",95.6999969482422
"872",97.6100006103516
"873",98.120002746582
"874",98.0599975585938
"875",NA
"876",97.8000030517578
"877",98.1600036621094
"878",96.5800018310547
"879",97.5999984741211
"880",96.6100006103516
"881",95.25
"882",97.9100036621094
"883",97.3899993896484
"884",99.4199981689453
"885",101.01000213623
"886",101.73999786377
"887",102.339996337891
"888",101.76000213623
"889",99.8300018310547
"890",99.25
"891",99.9199981689453
"892",101.819999694824
"893",100.870002746582
"894",101.430000305176
"895",103.080001831055
"896",101.639999389648
"897",103.779998779297
"898",102.589996337891
"899",102.519996643066
"900",105.779998779297
"901",111.25
"902",111.360000610352
"903",112.139999389648
"904",111.800003051758
"905",115.419998168945
"906",116.349998474121
"907",114.790000915527
"908",115.970001220703
"909",115.040000915527
"910",113.059997558594
"911",115.940002441406
"912",115.430000305176
"913",113.839996337891
"914",113.669998168945
"915",108.519996643066
"916",110.620002746582
"917",114.900001525879
"918",113.930000305176
"919",114.959999084473
"920",115.699996948242
"921",115.550003051758
"922",115.720001220703
"923",115.589996337891
"924",114.800003051758
"925",NA
"926",115.129997253418
"927",117.360000610352
"928",118.699996948242
"929",121.059997558594
"930",122.220001220703
"931",122.300003051758
"932",122.669998168945
"933",126.650001525879
"934",123.980003356934
"935",120.919998168945
"936",122.879997253418
"937",122.360000610352
"938",123.449996948242
"939",121.610000610352
"940",121.330001831055
"941",NA
"942",123.98999786377
"943",123.660003662109
"944",124.139999389648
"945",125.129997253418
"946",125.019996643066
"947",125.889999389648
"948",125.120002746582
"949",122.449996948242
"950",121.190002441406
"951",110.800003051758
"952",109.129997253418
"953",115.900001525879
"954",117.629997253418
"955",112.569999694824
"956",112.980003356934
"957",113.830001831055
"958",112.730003356934
"959",109.98999786377
"960",112.300003051758
"961",111.419998168945
"962",112.389999389648
"963",110.099998474121
"964",112.529998779297
"965",114.930000305176
"966",115.050003051758
"967",115.029998779297
"968",116.730003356934
"969",114.529998779297
"970",115.540000915527
"971",115.839996337891
"972",114.480003356934
"973",116.779998779297
"974",117.849998474121
"975",119.569999694824
"976",118.779998779297
"977",119.099998474121
"978",120.160003662109
"979",117.099998474121
"980",114.019996643066
"981",113.209999084473
"982",111.690002441406
"983",110.949996948242
"984",114.209999084473
"985",107.26000213623
"986",105.120002746582
"987",105.98999786377
"988",108.779998779297
"989",112.400001525879
"990",112.480003356934
"991",111.769996643066
"992",NA
"993",113.620002746582
"994",118.589996337891
"995",118.330001831055
"996",117.23999786377
"997",117.75
"998",NA
"999",118.319999694824
"1000",117.26000213623
"1001",116.050003051758
"1002",NA
"1003",118.150001525879
"1004",117.51000213623
"1005",118.669998168945
"1006",117.940002441406
"1007",118.279998779297
"1008",117.430000305176
"1009",117.360000610352
"1010",116.73999786377
"1011",116.809997558594
"1012",116.459999084473
"1013",113.230003356934
"1014",107.25
"1015",109.370002746582
"1016",103.73999786377
"1017",102.569999694824
"1018",106.680000305176
"1019",108.019996643066
"1020",108.029998779297
"1021",109.910003662109
"1022",NA
"1023",110.599998474121
"1024",106.98999786377
"1025",108.620002746582
"1026",108.360000610352
"1027",109.309997558594
"1028",110.150001525879
"1029",NA
"1030",111.360000610352
"1031",111.879997253418
"1032",114.019996643066
"1033",114.849998474121
"1034",114.290000915527
"1035",112.330001831055
"1036",112.889999389648
"1037",115.800003051758
"1038",114.550003051758
"1039",112.769996643066
"1040",112.25
"1041",111.889999389648
"1042",112.400001525879
"1043",115.339996337891
"1044",112.220001220703
"1045",109.139999389648
"1046",110.540000915527
"1047",110.360000610352
"1048",105.48999786377
"1049",103.970001220703
"1050",NA
"1051",107.139999389648
"1052",103.809997558594
"1053",103.949996948242
"1054",102.76000213623
"1055",101.709999084473
"1056",99.7900009155273
"1057",NA
"1058",105.730003356934
"1059",105.879997253418
"1060",108.949996948242
"1061",110.730003356934
"1062",111.360000610352
"1063",111.110000610352
"1064",114.680000305176
"1065",110.160003662109
"1066",111.150001525879
"1067",108.389999389648
"1068",109.76000213623
"1069",109.559997558594
"1070",111.449996948242
"1071",110.919998168945
"1072",108.910003662109
"1073",112.080001831055
"1074",109.910003662109
"1075",109.559997558594
"1076",109.540000915527
"1077",109.339996337891
"1078",110.830001831055
"1079",111.970001220703
"1080",114.559997558594
"1081",115
"1082",112.309997558594
"1083",113.709999084473
