"","IXIC.Adjusted"
"1",2423.15991210938
"2",2453.42993164062
"3",2434.25
"4",2438.19995117188
"5",2443.830078125
"6",2459.330078125
"7",2484.85009765625
"8",2502.82006835938
"9",2497.78002929688
"10",2479.419921875
"11",2443.2099609375
"12",2451.31005859375
"13",2431.07006835938
"14",2431.40991210938
"15",2466.28002929688
"16",2434.23999023438
"17",2435.48999023438
"18",2441.09008789062
"19",2448.63989257812
"20",2463.92993164062
"21",2468.3798828125
"22",2475.8798828125
"23",2470.60009765625
"24",2471.48999023438
"25",2490.5
"26",2488.669921875
"27",2459.82006835938
"28",2450.3798828125
"29",2459.8798828125
"30",2488.3798828125
"31",2497.10009765625
"32",2496.31005859375
"33",2513.0400390625
"34",2518.419921875
"35",2524.93994140625
"36",2515.10009765625
"37",2504.52001953125
"38",2407.86010742188
"39",2416.14990234375
"40",2404.2099609375
"41",2368
"42",2340.67993164062
"43",2385.13989257812
"44",2374.63989257812
"45",2387.72998046875
"46",2387.55004882812
"47",2402.2900390625
"48",2350.57006835938
"49",2371.73999023438
"50",2378.69995117188
"51",2372.65991210938
"52",2394.40991210938
"53",2408.2099609375
"54",2455.919921875
"55",2451.73999023438
"56",2448.92993164062
"57",2455.6298828125
"58",2437.42993164062
"59",2417.10009765625
"60",2417.8798828125
"61",2421.63989257812
"62",2422.26000976562
"63",2450.330078125
"64",2458.68994140625
"65",2471.34008789062
"66",2469.17993164062
"67",2477.61010742188
"68",2459.31005859375
"69",2480.32006835938
"70",2491.93994140625
"71",2518.330078125
"72",2516.94995117188
"73",2510.5
"74",2505.35009765625
"75",2526.38989257812
"76",2523.669921875
"77",2524.5400390625
"78",2547.88989257812
"79",2554.4599609375
"80",2557.2099609375
"81",2525.09008789062
"82",2531.53002929688
"83",2557.84008789062
"84",2565.4599609375
"85",2572.14990234375
"86",2570.94995117188
"87",2571.75
"88",2576.34008789062
"89",2533.73999023438
"90",2562.21997070312
"91",2546.43994140625
"92",2525.2900390625
"93",2547.419921875
"94",2539.3798828125
"95",2558.44995117188
"96",2578.7900390625
"97",2588.02001953125
"98",2577.05004882812
"99",2537.919921875
"100",2557.18994140625
"101",2572.06005859375
"102",2592.59008789062
"103",2604.52001953125
"104",2613.919921875
"105",2618.2900390625
"106",2611.22998046875
"107",2587.17993164062
"108",2541.3798828125
"109",2573.5400390625
"110",2572.14990234375
"111",2549.77001953125
"112",2582.31005859375
"113",2599.40991210938
"114",2626.7099609375
"115",2626.60009765625
"116",2626.76000976562
"117",2599.9599609375
"118",2616.9599609375
"119",2588.9599609375
"120",2577.080078125
"121",2574.15991210938
"122",2605.35009765625
"123",2608.3701171875
"124",2603.22998046875
"125",2632.30004882812
"126",2644.94995117188
"127",2656.64990234375
"128",2666.51000976562
"129",2670.02001953125
"130",2639.15991210938
"131",2651.7900390625
"132",2701.72998046875
"133",2707
"134",2697.330078125
"135",2712.2900390625
"136",2699.48999023438
"137",2720.0400390625
"138",2687.60009765625
"139",2690.580078125
"140",2639.86010742188
"141",2648.169921875
"142",2599.34008789062
"143",2562.23999023438
"144",2583.28002929688
"145",2546.27001953125
"146",2553.8701171875
"147",2575.97998046875
"148",2511.25
"149",2547.330078125
"150",2561.60009765625
"151",2612.97998046875
"152",2556.48999023438
"153",2544.88989257812
"154",2542.23999023438
"155",2499.1201171875
"156",2458.830078125
"157",2451.07006835938
"158",2505.03002929688
"159",2508.59008789062
"160",2521.30004882812
"161",2552.80004882812
"162",2541.69995117188
"163",2576.68994140625
"164",2561.25
"165",2500.63989257812
"166",2563.15991210938
"167",2565.30004882812
"168",2596.36010742188
"169",2630.23999023438
"170",2605.94995117188
"171",2614.32006835938
"172",2565.69995117188
"173",2559.11010742188
"174",2597.46997070312
"175",2592.07006835938
"176",2601.06005859375
"177",2602.17993164062
"178",2581.65991210938
"179",2651.65991210938
"180",2666.47998046875
"181",2654.2900390625
"182",2671.21997070312
"183",2667.94995117188
"184",2683.44995117188
"185",2699.03002929688
"186",2709.59008789062
"187",2701.5
"188",2740.98999023438
"189",2747.11010742188
"190",2729.42993164062
"191",2733.57006835938
"192",2780.32006835938
"193",2787.3701171875
"194",2803.90991210938
"195",2811.61010742188
"196",2772.19995117188
"197",2805.67993164062
"198",2780.05004882812
"199",2763.90991210938
"200",2792.669921875
"201",2799.31005859375
"202",2725.15991210938
"203",2753.92993164062
"204",2799.26000976562
"205",2774.76000976562
"206",2750.86010742188
"207",2804.18994140625
"208",2817.43994140625
"209",2816.7099609375
"210",2859.1201171875
"211",2794.830078125
"212",2810.3798828125
"213",2795.17993164062
"214",2825.17993164062
"215",2748.76000976562
"216",2696
"217",2627.93994140625
"218",2584.1298828125
"219",2673.64990234375
"220",2644.32006835938
"221",2618.51000976562
"222",2637.23999023438
"223",2593.3798828125
"224",2596.81005859375
"225",2562.14990234375
"226",2596.60009765625
"227",2540.98999023438
"228",2580.80004882812
"229",2662.90991210938
"230",2668.1298828125
"231",2660.9599609375
"232",2637.1298828125
"233",2619.830078125
"234",2666.36010742188
"235",2709.03002929688
"236",2706.15991210938
"237",2718.94995117188
"238",2652.35009765625
"239",2671.13989257812
"240",2668.48999023438
"241",2635.73999023438
"242",2574.4599609375
"243",2596.03002929688
"244",2601.01000976562
"245",2640.86010742188
"246",2691.98999023438
"247",2713.5
"248",2724.40991210938
"249",2676.7900390625
"250",2674.4599609375
"251",2652.28002929688
"252",2609.6298828125
"253",2602.67993164062
"254",2504.64990234375
"255",2499.4599609375
"256",2440.51000976562
"257",2474.55004882812
"258",2488.52001953125
"259",2439.93994140625
"260",2478.30004882812
"261",2417.59008789062
"262",2394.59008789062
"263",2346.89990234375
"264",2340.02001953125
"265",2292.27001953125
"266",2316.40991210938
"267",2360.919921875
"268",2326.19995117188
"269",2349.90991210938
"270",2358.06005859375
"271",2349
"272",2389.86010742188
"273",2413.36010742188
"274",2382.85009765625
"275",2309.57006835938
"276",2278.75
"277",2293.03002929688
"278",2304.85009765625
"279",2320.06005859375
"280",2320.0400390625
"281",2373.92993164062
"282",2332.5400390625
"283",2321.80004882812
"284",2306.19995117188
"285",2327.10009765625
"286",2299.78002929688
"287",2303.35009765625
"288",2327.47998046875
"289",2344.98999023438
"290",2353.78002929688
"291",2331.57006835938
"292",2271.47998046875
"293",2258.60009765625
"294",2260.28002929688
"295",2272.81005859375
"296",2220.5
"297",2212.48999023438
"298",2169.34008789062
"299",2255.76000976562
"300",2243.8701171875
"301",2263.61010742188
"302",2212.48999023438
"303",2177.01000976562
"304",2268.26000976562
"305",2209.9599609375
"306",2258.11010742188
"307",2326.75
"308",2341.05004882812
"309",2324.36010742188
"310",2280.830078125
"311",2261.17993164062
"312",2279.10009765625
"313",2362.75
"314",2361.39990234375
"315",2363.30004882812
"316",2370.97998046875
"317",2364.830078125
"318",2348.76000976562
"319",2322.1201171875
"320",2351.69995117188
"321",2290.23999023438
"322",2275.82006835938
"323",2286.0400390625
"324",2350.11010742188
"325",2341.830078125
"326",2402.96997070312
"327",2408.0400390625
"328",2376.93994140625
"329",2405.2099609375
"330",2428.919921875
"331",2422.92993164062
"332",2424.39990234375
"333",2426.10009765625
"334",2412.80004882812
"335",2480.7099609375
"336",2476.98999023438
"337",2464.1201171875
"338",2483.31005859375
"339",2438.48999023438
"340",2451.23999023438
"341",2445.52001953125
"342",2488.48999023438
"343",2495.1201171875
"344",2496.69995117188
"345",2533.72998046875
"346",2528.85009765625
"347",2516.09008789062
"348",2492.26000976562
"349",2448.27001953125
"350",2464.580078125
"351",2444.669921875
"352",2481.23999023438
"353",2486.69995117188
"354",2508.32006835938
"355",2522.65991210938
"356",2491.53002929688
"357",2480.47998046875
"358",2503.13989257812
"359",2549.93994140625
"360",2474.56005859375
"361",2459.4599609375
"362",2448.93994140625
"363",2394.01000976562
"364",2404.35009765625
"365",2454.5
"366",2474.78002929688
"367",2457.72998046875
"368",2429.7099609375
"369",2462.06005859375
"370",2406.09008789062
"371",2385.73999023438
"372",2368.28002929688
"373",2401.26000976562
"374",2321.3701171875
"375",2315.6298828125
"376",2292.97998046875
"377",2304.96997070312
"378",2251.4599609375
"379",2245.3798828125
"380",2243.32006835938
"381",2294.43994140625
"382",2234.88989257812
"383",2257.85009765625
"384",2239.080078125
"385",2212.8701171875
"386",2215.7099609375
"387",2284.85009765625
"388",2312.30004882812
"389",2282.78002929688
"390",2279.53002929688
"391",2303.9599609375
"392",2325.8798828125
"393",2280.11010742188
"394",2310.53002929688
"395",2264.21997070312
"396",2319.6201171875
"397",2329.71997070312
"398",2325.55004882812
"399",2310.9599609375
"400",2285.56005859375
"401",2349.830078125
"402",2378.3701171875
"403",2355.72998046875
"404",2414.10009765625
"405",2439.94995117188
"406",2430.61010742188
"407",2428.6201171875
"408",2453.669921875
"409",2452.52001953125
"410",2416.97998046875
"411",2384.36010742188
"412",2389.080078125
"413",2380.3798828125
"414",2414.7099609375
"415",2365.59008789062
"416",2361.96997070312
"417",2382.4599609375
"418",2411.63989257812
"419",2367.52001953125
"420",2349.23999023438
"421",2333.72998046875
"422",2259.0400390625
"423",2255.8798828125
"424",2269.76000976562
"425",2209.81005859375
"426",2228.69995117188
"427",2258.21997070312
"428",2261.27001953125
"429",2179.90991210938
"430",2207.89990234375
"431",2098.85009765625
"432",2199.10009765625
"433",2273.89990234375
"434",2178.97998046875
"435",2153.330078125
"436",2155.67993164062
"437",2186.57006835938
"438",2183.34008789062
"439",1983.72998046875
"440",2091.8798828125
"441",2069.39990234375
"442",1976.71997070312
"443",1947.39001464844
"444",1862.9599609375
"445",1754.88000488281
"446",1740.32995605469
"447",1645.11999511719
"448",1649.51000976562
"449",1844.25
"450",1779.01000976562
"451",1628.32995605469
"452",1717.7099609375
"453",1711.2900390625
"454",1770.03002929688
"455",1696.68005371094
"456",1615.75
"457",1603.91003417969
"458",1552.03002929688
"459",1505.90002441406
"460",1649.46997070312
"461",1657.2099609375
"462",1698.52001953125
"463",1720.94995117188
"464",1726.32995605469
"465",1780.11999511719
"466",1681.64001464844
"467",1608.69995117188
"468",1647.40002441406
"469",1616.73999023438
"470",1580.90002441406
"471",1499.2099609375
"472",1596.69995117188
"473",1516.84997558594
"474",1482.05004882812
"475",1483.27001953125
"476",1386.42004394531
"477",1316.11999511719
"478",1384.34997558594
"479",1472.02001953125
"480",1464.72998046875
"481",1532.09997558594
"482",1535.56994628906
"483",1398.06994628906
"484",1449.80004882812
"485",1492.38000488281
"486",1445.56005859375
"487",1509.31005859375
"488",1571.73999023438
"489",1547.33996582031
"490",1565.47998046875
"491",1507.88000488281
"492",1540.71997070312
"493",1508.33996582031
"494",1589.89001464844
"495",1579.31005859375
"496",1552.36999511719
"497",1564.31994628906
"498",1532.34997558594
"499",1521.5400390625
"500",1524.90002441406
"501",1530.23999023438
"502",1510.31994628906
"503",1550.69995117188
"504",1577.03002929688
"505",1632.2099609375
"506",1628.03002929688
"507",1652.38000488281
"508",1599.06005859375
"509",1617.01000976562
"510",1571.58996582031
"511",1538.7900390625
"512",1546.4599609375
"513",1489.64001464844
"514",1511.83996582031
"515",1529.32995605469
"516",1440.85998535156
"517",1507.06994628906
"518",1465.48999023438
"519",1477.2900390625
"520",1489.4599609375
"521",1504.90002441406
"522",1558.33996582031
"523",1507.83996582031
"524",1476.42004394531
"525",1494.43005371094
"526",1516.30004882812
"527",1515.05004882812
"528",1546.23999023438
"529",1591.7099609375
"530",1591.56005859375
"531",1524.72998046875
"532",1530.5
"533",1541.7099609375
"534",1534.35998535156
"535",1470.66003417969
"536",1467.96997070312
"537",1442.81994628906
"538",1441.22998046875
"539",1387.71997070312
"540",1441.82995605469
"541",1425.43005371094
"542",1391.46997070312
"543",1377.83996582031
"544",1322.84997558594
"545",1321.01000976562
"546",1353.73999023438
"547",1299.58996582031
"548",1293.84997558594
"549",1268.64001464844
"550",1358.28002929688
"551",1371.64001464844
"552",1426.09997558594
"553",1431.5
"554",1404.02001953125
"555",1462.10998535156
"556",1491.21997070312
"557",1483.47998046875
"558",1457.27001953125
"559",1555.77001953125
"560",1516.52001953125
"561",1528.94995117188
"562",1587
"563",1545.19995117188
"564",1501.80004882812
"565",1528.58996582031
"566",1551.59997558594
"567",1602.63000488281
"568",1621.86999511719
"569",1606.7099609375
"570",1561.60998535156
"571",1590.66003417969
"572",1652.5400390625
"573",1653.31005859375
"574",1625.71997070312
"575",1626.80004882812
"576",1670.43994140625
"577",1673.06994628906
"578",1608.2099609375
"579",1643.84997558594
"580",1646.11999511719
"581",1652.2099609375
"582",1694.2900390625
"583",1679.41003417969
"584",1673.81005859375
"585",1711.93994140625
"586",1717.30004882812
"587",1719.19995117188
"588",1763.56005859375
"589",1754.11999511719
"590",1759.09997558594
"591",1716.23999023438
"592",1739
"593",1731.23999023438
"594",1715.92004394531
"595",1664.18994140625
"596",1689.2099609375
"597",1680.14001464844
"598",1732.35998535156
"599",1734.5400390625
"600",1727.83996582031
"601",1695.25
"602",1692.01000976562
"603",1750.43005371094
"604",1731.07995605469
"605",1751.7900390625
"606",1774.32995605469
"607",1828.68005371094
"608",1836.80004882812
"609",1825.92004394531
"610",1850.02001953125
"611",1849.42004394531
"612",1842.40002441406
"613",1860.13000488281
"614",1853.07995605469
"615",1862.36999511719
"616",1858.80004882812
"617",1816.38000488281
"618",1796.18005371094
"619",1808.06005859375
"620",1807.71997070312
"621",1827.46997070312
"622",1766.18994140625
"623",1764.92004394531
"624",1792.33996582031
"625",1829.5400390625
"626",1838.21997070312
"627",1844.06005859375
"628",1835.0400390625
"629",1845.71997070312
"630",1796.52001953125
"631",1787.40002441406
"632",1746.17004394531
"633",1747.17004394531
"634",1752.55004882812
"635",1756.03002929688
"636",1793.2099609375
"637",1799.72998046875
"638",1862.90002441406
"639",1885.03002929688
"640",1886.60998535156
"641",1909.2900390625
"642",1916.19995117188
"643",1926.38000488281
"644",1973.59997558594
"645",1965.9599609375
"646",1967.89001464844
"647",1975.51000976562
"648",1967.76000976562
"649",1984.30004882812
"650",1978.5
"651",2008.60998535156
"652",2011.31005859375
"653",1993.05004882812
"654",1973.16003417969
"655",2000.25
"656",1992.23999023438
"657",1969.72998046875
"658",1998.71997070312
"659",2009.34997558594
"660",1985.52001953125
"661",1930.83996582031
"662",1955.92004394531
"663",1969.23999023438
"664",1989.21997070312
"665",2020.90002441406
"666",2017.97998046875
"667",2024.22998046875
"668",2024.43005371094
"669",2027.72998046875
"670",2028.77001953125
"671",2009.06005859375
"672",1968.89001464844
"673",1967.06994628906
"674",1983.19995117188
"675",2018.78002929688
"676",2037.77001953125
"677",2060.38989257812
"678",2084.02001953125
"679",2080.89990234375
"680",2091.78002929688
"681",2102.63989257812
"682",2133.14990234375
"683",2126.75
"684",2132.86010742188
"685",2138.0400390625
"686",2146.30004882812
"687",2131.419921875
"688",2107.61010742188
"689",2090.919921875
"690",2130.73999023438
"691",2124.0400390625
"692",2122.419921875
"693",2057.47998046875
"694",2048.11010742188
"695",2068.14990234375
"696",2103.57006835938
"697",2110.330078125
"698",2123.92993164062
"699",2139.28002929688
"700",2139.13989257812
"701",2139.88989257812
"702",2172.22998046875
"703",2173.2900390625
"704",2156.80004882812
"705",2176.32006835938
"706",2163.46997070312
"707",2150.72998046875
"708",2165.2900390625
"709",2154.46997070312
"710",2141.85009765625
"711",2116.09008789062
"712",2059.61010742188
"713",2097.55004882812
"714",2045.10998535156
"715",2049.19995117188
"716",2057.32006835938
"717",2055.52001953125
"718",2105.32006835938
"719",2112.43994140625
"720",2154.06005859375
"721",2151.080078125
"722",2166.89990234375
"723",2149.02001953125
"724",2167.8798828125
"725",2197.85009765625
"726",2203.78002929688
"727",2193.13989257812
"728",2156.82006835938
"729",2146.0400390625
"730",2176.01000976562
"731",2169.17993164062
"732",2176.05004882812
"733",2138.43994140625
"734",2144.60009765625
"735",2175.81005859375
"736",2185.03002929688
"737",2173.13989257812
"738",2194.35009765625
"739",2189.61010742188
"740",2172.98999023438
"741",2183.72998046875
"742",2190.86010742188
"743",2190.31005859375
"744",2212.10009765625
"745",2201.05004882812
"746",2206.90991210938
"747",2180.05004882812
"748",2211.68994140625
"749",2237.65991210938
"750",2252.669921875
"751",2269.63989257812
"752",2285.68994140625
"753",2291.080078125
"754",2288.39990234375
"755",2291.28002929688
"756",2269.14990234375
"757",2308.419921875
"758",2308.7099609375
"759",2301.09008789062
"760",2300.05004882812
"761",2317.169921875
"762",2312.40991210938
"763",2282.31005859375
"764",2307.89990234375
"765",2316.73999023438
"766",2287.98999023438
"767",2320.39990234375
"768",2291.25
"769",2265.69995117188
"770",2205.2900390625
"771",2210.80004882812
"772",2203.72998046875
"773",2221.40991210938
"774",2179
"775",2147.35009765625
"776",2171.19995117188
"777",2190.06005859375
"778",2190.90991210938
"779",2125.42993164062
"780",2141.1201171875
"781",2126.05004882812
"782",2150.8701171875
"783",2147.8701171875
"784",2177.40991210938
"785",2183.53002929688
"786",2214.18994140625
"787",2226.2900390625
"788",2241.7099609375
"789",2243.8701171875
"790",2242.03002929688
"791",2213.43994140625
"792",2235.89990234375
"793",2234.21997070312
"794",2238.26000976562
"795",2273.57006835938
"796",2280.7900390625
"797",2280.67993164062
"798",2292.31005859375
"799",2326.35009765625
"800",2332.2099609375
"801",2340.67993164062
"802",2358.94995117188
"803",2368.4599609375
"804",2367.65991210938
"805",2362.2099609375
"806",2378.01000976562
"807",2389.09008789062
"808",2391.28002929688
"809",2374.40991210938
"810",2395.39990234375
"811",2415.23999023438
"812",2398.76000976562
"813",2397.40991210938
"814",2395.1298828125
"815",2404.36010742188
"816",2410.68994140625
"817",2397.9599609375
"818",2402.580078125
"819",2429.53002929688
"820",2436.81005859375
"821",2431.15991210938
"822",2436.81005859375
"823",2454.05004882812
"824",2457.8701171875
"825",2465.98999023438
"826",2504.86010742188
"827",2515.68994140625
"828",2481.26000976562
"829",2480.11010742188
"830",2500.31005859375
"831",2504.61010742188
"832",2519.07006835938
"833",2530.14990234375
"834",2522.94995117188
"835",2471.46997070312
"836",2471.72998046875
"837",2511.919921875
"838",2461.18994140625
"839",2498.73999023438
"840",2424.25
"841",2402.2900390625
"842",2319.63989257812
"843",2265.63989257812
"844",2374.669921875
"845",2375.31005859375
"846",2425.02001953125
"847",2394.36010742188
"848",2346.85009765625
"849",2354.22998046875
"850",2317.26000976562
"851",2298.3701171875
"852",2204.01000976562
"853",2229.0400390625
"854",2213.55004882812
"855",2210.94995117188
"856",2195.8798828125
"857",2277.67993164062
"858",2257.0400390625
"859",2222.330078125
"860",2281.07006835938
"861",2303.03002929688
"862",2219.169921875
"863",2173.89990234375
"864",2170.57006835938
"865",2158.85009765625
"866",2218.7099609375
"867",2243.60009765625
"868",2243.9599609375
"869",2305.8798828125
"870",2305.92993164062
"871",2307.15991210938
"872",2309.80004882812
"873",2289.09008789062
"874",2261.80004882812
"875",2254.22998046875
"876",2217.419921875
"877",2223.47998046875
"878",2220.64990234375
"879",2135.17993164062
"880",2109.23999023438
"881",2101.36010742188
"882",2091.7900390625
"883",2093.8798828125
"884",2159.46997070312
"885",2175.39990234375
"886",2196.44995117188
"887",2198.36010742188
"888",2242.03002929688
"889",2249.84008789062
"890",2249.080078125
"891",2179.05004882812
"892",2198.22998046875
"893",2222.48999023438
"894",2187.330078125
"895",2245.88989257812
"896",2269.46997070312
"897",2296.42993164062
"898",2288.25
"899",2264.56005859375
"900",2251.68994140625
"901",2254.69995117188
"902",2295.36010742188
"903",2283.52001953125
"904",2303.57006835938
"905",2293.06005859375
"906",2288.46997070312
"907",2305.68994140625
"908",2277.169921875
"909",2208.6298828125
"910",2190.27001953125
"911",2173.47998046875
"912",2181.8701171875
"913",2209.43994140625
"914",2215.69995117188
"915",2178.94995117188
"916",2179.76000976562
"917",2159.6298828125
"918",2123.76000976562
"919",2141.5400390625
"920",2118.68994140625
"921",2153.6298828125
"922",2119.96997070312
"923",2114.03002929688
"924",2176.84008789062
"925",2200.01000976562
"926",2233.75
"927",2208.88989257812
"928",2228.8701171875
"929",2236.19995117188
"930",2242.47998046875
"931",2285.7099609375
"932",2289.77001953125
"933",2301.32006835938
"934",2303.25
"935",2315.61010742188
"936",2355.830078125
"937",2349.35009765625
"938",2334.55004882812
"939",2327.080078125
"940",2381.21997070312
"941",2369.77001953125
"942",2379.59008789062
"943",2376.56005859375
"944",2368.6201171875
"945",2370.75
"946",2344.52001953125
"947",2399.830078125
"948",2380.65991210938
"949",2383.669921875
"950",2401.90991210938
"951",2402.330078125
"952",2417.919921875
"953",2441.22998046875
"954",2435.3798828125
"955",2468.77001953125
"956",2480.65991210938
"957",2436.94995117188
"958",2457.38989257812
"959",2459.669921875
"960",2479.38989257812
"961",2490.85009765625
"962",2497.2900390625
"963",2503.26000976562
"964",2507.3701171875
"965",2507.40991210938
"966",2504.84008789062
"967",2533.52001953125
"968",2540.27001953125
"969",2577.34008789062
"970",2578.97998046875
"971",2580.05004882812
"972",2562.97998046875
"973",2578.78002929688
"974",2555.52001953125
"975",2518.2099609375
"976",2513.82006835938
"977",2469.84008789062
"978",2476.01000976562
"979",2514.39990234375
"980",2518.1201171875
"981",2532.02001953125
"982",2494.94995117188
"983",2543.1201171875
"984",2534.56005859375
"985",2525.21997070312
"986",2498.22998046875
"987",2549.42993164062
"988",2579.35009765625
"989",2591.4599609375
"990",2594.919921875
"991",2598.48999023438
"992",2609.15991210938
"993",2616.669921875
"994",2637.5400390625
"995",2624.90991210938
"996",2627.71997070312
"997",2617.21997070312
"998",2637.31005859375
"999",2642.96997070312
"1000",2649.56005859375
"1001",2667.61010742188
"1002",2671.47998046875
"1003",2665.60009765625
"1004",2667.27001953125
"1005",2662.8798828125
"1006",2666.92993164062
"1007",2662.97998046875
"1008",2652.8701171875
"1009",2691.52001953125
"1010",2681.25
"1011",2702.19995117188
"1012",2709.88989257812
"1013",2703.169921875
"1014",2707.80004882812
"1015",2716.830078125
"1016",2737.330078125
"1017",2735.2900390625
"1018",2755.30004882812
"1019",2765.85009765625
"1020",2725.36010742188
"1021",2704.2900390625
"1022",2689.5400390625
"1023",2717.55004882812
"1024",2719.25
"1025",2739.5
"1026",2755.28002929688
"1027",2686.88989257812
"1028",2700.080078125
"1029",2751.18994140625
"1030",2749.56005859375
"1031",2753.8798828125
"1032",2769.30004882812
"1033",2783.98999023438
"1034",2797.05004882812
"1035",2789.07006835938
"1036",2790.44995117188
"1037",2809.43994140625
"1038",2817.17993164062
"1039",2804.35009765625
"1040",2825.56005859375
"1041",2831.580078125
"1042",2833.94995117188
"1043",2756.419921875
"1044",2722.98999023438
"1045",2737.89990234375
"1046",2781.05004882812
"1047",2782.27001953125
"1048",2737.40991210938
"1049",2748.07006835938
"1050",2798.73999023438
"1051",2784.669921875
"1052",2745.6298828125
"1053",2765.77001953125
"1054",2751.71997070312
"1055",2701.02001953125
"1056",2715.61010742188
"1057",2700.96997070312
"1058",2667.330078125
"1059",2616.82006835938
"1060",2636.05004882812
"1061",2643.669921875
"1062",2692.09008789062
"1063",2683.8701171875
"1064",2698.30004882812
"1065",2736.419921875
"1066",2743.06005859375
"1067",2730.67993164062
"1068",2756.88989257812
"1069",2776.7900390625
"1070",2781.07006835938
"1071",2789.60009765625
"1072",2789.18994140625
"1073",2791.18994140625
"1074",2799.82006835938
"1075",2796.13989257812
"1076",2780.419921875
"1077",2771.51000976562
"1078",2744.7900390625
"1079",2761.52001953125
"1080",2760.21997070312
"1081",2764.64990234375
"1082",2735.3798828125
"1083",2744.96997070312
"1084",2802.51000976562
"1085",2820.15991210938
"1086",2825.8798828125
"1087",2847.5400390625
"1088",2869.8798828125
